date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2024-07-17,0.0025,0.0035,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.004,0.032,0.0735,0.0855,0.136,0.071,0.0945,0.3175,0.135,0.0395,0.004,0.0005,0.0,18,0,GREEN,0,GREEN,0.145,0.147,0,GREEN,0,GREEN
2024-07-18,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.001,0.0045,0.009,0.0115,0.0475,0.411,0.328,0.1605,0.019,0.0055,0.0,18,0,GREEN,0,GREEN,0.029,0.029,0,GREEN,0,GREEN
2024-07-19,0.001,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.003,0.005,0.008,0.038,0.2275,0.4985,0.2025,0.014,0.0025,0.0,19,0,GREEN,0,GREEN,0.0255,0.0255,0,GREEN,0,GREEN
2024-07-20,0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0045,0.007,0.083,0.5865,0.2045,0.0905,0.022,0.001,0.0,18,0,GREEN,0,GREEN,0.02,0.02,0,GREEN,0,GREEN
2024-07-21,0.0015,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.0025,0.008,0.0245,0.2865,0.4635,0.1985,0.0065,0.0085,0.0,19,0,GREEN,0,GREEN,0.039,0.04,0,GREEN,0,GREEN
2024-07-22,0.0035,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.0085,0.0185,0.066,0.404,0.3615,0.1285,0.0095,0.001,0.0,18,0,GREEN,0,GREEN,0.254,0.258,0,GREEN,0,GREEN
2024-07-23,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.011,0.0205,0.0245,0.1285,0.498,0.2245,0.0815,0.0085,0.0025,0.0,18,0,GREEN,0,GREEN,0.322,0.3765,0,GREEN,0,GREEN
2024-07-24,0.0075,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.013,0.03,0.069,0.1165,0.4295,0.208,0.1045,0.017,0.011,0.0,18,0,GREEN,0,GREEN,0.399,0.523,0,GREEN,1,YELLOW
2024-07-25,0.0035,0.0055,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0075,0.0315,0.0445,0.0475,0.067,0.3045,0.2575,0.1615,0.051,0.0255,0.0,18,0,GREEN,0,GREEN,0.1485,0.197,0,GREEN,0,GREEN
2024-07-26,0.0065,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.026,0.045,0.056,0.113,0.349,0.312,0.081,0.0075,0.0025,0.0,18,0,GREEN,0,GREEN,0.3725,0.451,0,GREEN,0,YELLOW
2024-07-27,0.0035,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0035,0.0065,0.0145,0.0585,0.489,0.2765,0.1415,0.0085,0.0005,0.0,18,0,GREEN,0,GREEN,0.106,0.146,0,GREEN,0,GREEN
2024-07-28,0.0065,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0075,0.023,0.3785,0.4765,0.102,0.01,0.002,0.0,19,0,GREEN,0,GREEN,0.424,0.6335,0,YELLOW,1,ORANGE
2024-07-29,0.132,0.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0015,0.016,0.0065,0.0725,0.169,0.4995,0.159,0.059,0.0125,0.004,0.0,18,0,GREEN,0,GREEN,0.991,0.9975,1,RED,1,RED
2024-07-30,0.2275,0.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0035,0.025,0.062,0.102,0.219,0.364,0.1485,0.0435,0.017,0.0145,0.0,18,0,GREEN,0,YELLOW,0.992,0.9985,1,RED,1,RED
2024-07-31,0.1995,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0165,0.0295,0.0425,0.1545,0.443,0.2105,0.061,0.025,0.0145,0.0,18,0,GREEN,0,GREEN,0.972,0.995,1,RED,1,RED
2024-08-01,0.001,0.002,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0045,0.006,0.008,0.003,0.0005,0.002,0.006,0.0345,0.425,0.1485,0.0225,0.0045,0.0,0.0,18,0,GREEN,0,GREEN,,,0,,0,
2024-08-02,0.0005,0.0005,0.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.001,0.001,0.003,0.0,0.0005,0.0005,0.002,0.0055,0.01,0.0355,0.0125,0.0055,0.0,0.0,0,0,GREEN,0,GREEN,0.9115,,1,RED,0,
2024-08-03,0.0005,0.0005,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0005,0.002,0.0055,0.009,0.0025,0.0,0.0,0,0,GREEN,0,GREEN,0.845,,1,RED,0,
2024-08-04,0.0005,0.0005,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.002,0.004,0.005,0.004,0.0,0.0,0,0,GREEN,0,GREEN,0.0925,,0,GREEN,0,
2024-08-05,0.0005,0.0005,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.001,0.0025,0.0065,0.004,0.0035,0.001,0.002,0.0095,0.0275,0.042,0.0355,0.0645,0.049,0.0,0,0,GREEN,0,GREEN,0.008,0.108,0,GREEN,0,GREEN
2024-08-06,0.0005,0.0005,0.9225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.002,0.0015,0.001,0.001,0.0015,0.0105,0.023,0.0125,0.013,0.0055,0.005,0.0,0,0,GREEN,0,GREEN,0.0025,0.051,0,GREEN,0,GREEN
2024-08-07,0.019,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0045,0.0085,0.021,0.1315,0.3495,0.3645,0.1075,0.007,0.0045,0.0,19,0,GREEN,0,GREEN,1.0,1.0,1,RED,1,RED
